слово idf tf-idf
astra 2.1172712956557644 0.0004430364711562596
astralis 2.1172712956557644 0.0018904207996926468
astrazeneca 1.4183012913197455 0.010959711853891132
asus 1.515211304327802 0.012619152734904378
atc 2.1172712956557644 0.002004991757249777
athletics 1.4183012913197455 0.007572953003639992
athlon 2.1172712956557644 0.0026582188269375574
atlas 2.1172712956557644 0.001809633586030568
atp 1.515211304327802 0.008026628592524726
atpwtast 2.1172712956557644 0.0012175223091752526
atpрейтинг 2.1172712956557644 0.0012175223091752526
atrocity 2.1172712956557644 0.002190658350393962
attack 2.1172712956557644 0.0004430364711562596
attribution 2.1172712956557644 0.0010323116994908651
atx 2.1172712956557644 0.0004430364711562596
audi 1.6401500409361018 0.006603581626198512
audio 2.1172712956557644 0.018904207996926468
aura 2.1172712956557644 0.0011346577147137002
aurora 2.1172712956557644 0.0004430364711562596
aut 2.1172712956557644 0.0012800914725851055
autonews 2.1172712956557644 0.009048167930152841
avenueiv 2.1172712956557644 0.0034204705907201365
avia 2.1172712956557644 0.009452103998463234
aviation 2.1172712956557644 0.000629017021882283
avito 2.1172712956557644 0.0005997935681744375
avx 2.1172712956557644 0.0026582188269375574
awakening 2.1172712956557644 0.002271750317227215
award 2.1172712956557644 0.0004430364711562596
awards 1.2721732556415075 0.010557390934120545
ax 2.1172712956557644 0.0016897616086638185
axiom 2.1172712956557644 0.009573193499573916
axios 2.1172712956557644 0.0017426101198812875
axle 2.1172712956557644 0.0018904207996926468
ayzhana 2.1172712956557644 0.0008472474172291976
az 1.6401500409361018 0.013033489126436114
azergold 2.1172712956557644 0.0015695117091592027
azernews 2.1172712956557644 0.0007847558545796014
azərbaycan 2.1172712956557644 0.0031390234183184054
azərbaycanca 2.1172712956557644 0.0054932909820572095
azərbaycanın 2.1172712956557644 0.0007847558545796014
back 2.1172712956557644 0.0035229139694771456
bafta 2.1172712956557644 0.002271750317227215
bagel 2.1172712956557644 0.0007847558545796014
baiyshbek 2.1172712956557644 0.0008472474172291976
bakr 2.1172712956557644 0.0008472474172291976
baku 2.1172712956557644 0.0007847558545796014
bambolino 2.1172712956557644 0.0008948737513337973
ban 2.1172712956557644 0.0018904207996926468
bandai 2.1172712956557644 0.0018904207996926468
bank 2.1172712956557644 0.0015695117091592027
banzai 2.1172712956557644 0.0037808415993852936
bar 1.6401500409361018 0.004604008121041755
bare_metal 2.1172712956557644 0.0004430364711562596
barselona 2.1172712956557644 0.0021077862574970276
bartomeu 2.1172712956557644 0.0021077862574970276
bashinform 2.1172712956557644 0.0023317965811186837
battlefield 1.515211304327802 0.008452379758663092
battlegrounds 2.1172712956557644 0.0025346424129957276
bayraktar 2.1172712956557644 0.001471349058829579
bcea 2.1172712956557644 0.0008448808043319092
bch 2.1172712956557644 0.0008448808043319092
be 1.816241299991783 0.002893052682140713
beauty 2.1172712956557644 0.004226090410490548
beeple 2.1172712956557644 0.0008448808043319092
beetle 2.1172712956557644 0.0019824637599773075
before 1.6401500409361018 0.005081371678795198
beholder 2.1172712956557644 0.0018605195919646435
bellator 2.1172712956557644 0.0014551692753647866
bellingcat 2.1172712956557644 0.0011085190029611334
below 1.816241299991783 0.00799282098591001
benz 1.515211304327802 0.008426179033435028
benzema 2.1172712956557644 0.0008472474172291976
benzmitsubishimazdafordвсе 2.1172712956557644 0.002686892507177366
best 2.1172712956557644 0.0015765236750973674
beta 1.816241299991783 0.00352142057611846
betboom 2.1172712956557644 0.0010538931287485138
bethesda 2.1172712956557644 0.0008860729423125191
better 2.1172712956557644 0.0008860729423125191
bettery 2.1172712956557644 0.0010538931287485138
bfm 2.1172712956557644 0.0037876051800639792
big 0.6121213173358583 0.038811046461292735
bigcheza 2.1172712956557644 0.009452103998463234
bigdataрасправа 2.1172712956557644 0.004424809395309853
bigmir 2.1172712956557644 0.015530107303098516
bigpicture 2.1172712956557644 0.047260519992316175
bigв 2.1172712956557644 0.00044743687566689864
bigрядом 2.1172712956557644 0.006084112918551047
bigследственный 2.1172712956557644 0.00044743687566689864
bike 2.1172712956557644 0.005176702434366172
bim 2.1172712956557644 0.0007221252713696331
biomutant 2.1172712956557644 0.002271750317227215
bionic 2.1172712956557644 0.0017721458846250383
bj 2.1172712956557644 0.0010120799692427173
black 1.816241299991783 0.002664098909855664
blackview 2.1172712956557644 0.0008860729423125191
